collateral_id,counterparty_id,collateral_type,currency,collateral_posted,haircut_rate,valuation_date
1,1,Government Securities,INR,281861751.84,0.0864,2026-05-26
2,2,Cash INR,INR,675480108.01,0.0596,2026-05-26
3,3,Government Securities,INR,476995077.46,0.0309,2026-05-26
4,4,Cash INR,INR,609735684.8,0.1004,2026-05-26
5,5,Corporate Bond,INR,453565351.64,0.0294,2026-05-26
6,6,Corporate Bond,INR,358812194.94,0.0427,2026-05-26
7,7,Cash INR,INR,692113479.47,0.0559,2026-05-26
8,8,Government Securities,INR,436681237.89,0.0365,2026-05-26
9,9,Cash INR,INR,693961583.7,0.0772,2026-05-26
10,10,Government Securities,INR,240105490.81,0.0406,2026-05-26
11,11,Cash INR,INR,207912207.04,0.0204,2026-05-26
12,12,Government Securities,INR,684763089.76,0.0201,2026-05-26
13,13,Cash INR,INR,344589476.08,0.0573,2026-05-26
14,14,Cash INR,INR,712355465.43,0.0464,2026-05-26
15,15,Bank Guarantee,INR,475246278.33,0.093,2026-05-26
16,16,Cash INR,INR,228406502.64,0.0802,2026-05-26
17,17,Bank Guarantee,INR,613640330.66,0.0374,2026-05-26
18,18,Government Securities,INR,160898012.76,0.0284,2026-05-26
19,19,Cash INR,INR,612347805.04,0.0308,2026-05-26
20,20,Corporate Bond,INR,534185664.03,0.0441,2026-05-26
