counterparty_id,snapshot_date,gross_exposure,collateral_posted,net_exposure,initial_margin,variation_margin,stress_loss
1,2026-05-26,484503244.68,281861751.84,202641492.84000003,85646437.96,74259892.74,566018926.3500001
2,2026-05-26,746531148.55,675480108.01,71051040.53999996,144186787.29,161438387.58,630949401.9524999
3,2026-05-26,539977801.06,476995077.46,62982723.599999964,155339374.59,99503173.6,467966074.3949999
4,2026-05-26,892673643.32,609735684.8,282937958.5200001,308396912.94,103049592.59,952443191.0100002
5,2026-05-26,585615887.68,453565351.64,132050536.03999996,165773962.16,108095951.48,571262451.8
6,2026-05-26,604152332.85,358812194.94,245340137.91000003,173035294.61,146734549.63,698454387.5475001
7,2026-05-26,711205826.41,692113479.47,19092346.939999938,254651967.6,147288776.04,552496716.7475
8,2026-05-26,912849407.86,436681237.89,476168169.97,298658165.21,156246198.95,1160805225.8650002
9,2026-05-26,831967501.26,693961583.7,138005917.55999994,245485967.06,148539595.29,761981543.5049999
10,2026-05-26,332768486.26,240105490.81,92662995.44999999,98510378.54,80143760.74,342239360.1449999
11,2026-05-26,279812867.32,207912207.04,71900660.28,71158965.97,14970944.61,281760310.77
12,2026-05-26,632592698.4200001,684763089.76,-52170391.339999914,193327186.87,131810818.43,422274132.47500014
13,2026-05-26,368103845.25,344589476.08,23514369.170000017,87888612.47,46098967.82,299592253.1075
14,2026-05-26,730533679.08,712355465.43,18178213.650000095,288800045.08,86144057.33,566078472.9600002
15,2026-05-26,718998732.24,475246278.33,243752453.91000003,276214860.41,112284424.97,783001503.0900002
16,2026-05-26,244666020.47,228406502.64,16259517.830000013,87627093.42,56624535.08,199759033.1825
17,2026-05-26,794301124.5699999,613640330.66,180660793.90999997,323209353.87,138399255.3,776386637.3375
18,2026-05-26,228721751.28,160898012.76,67823738.52000001,63603095.28,16321935.2,239365051.98000002
19,2026-05-26,568401419.88,612347805.04,-43946385.15999997,182192867.38,120042946.6,382354679.75
20,2026-05-26,458615763.61,534185664.03,-75569900.41999996,104309881.25,73497055.34,268391922.28750002
