margin_call_id,counterparty_id,call_date,initial_margin,variation_margin,margin_call_status,due_date,amount_disputed
1,1,2026-05-26,85646437.96,74259892.74,Settled,2026-05-27,879826.93
2,2,2026-05-26,144186787.29,161438387.58,Pending,2026-05-27,442623.37
3,3,2026-05-26,155339374.59,99503173.6,Settled,2026-05-27,2622382.17
4,4,2026-05-26,308396912.94,103049592.59,Settled,2026-05-27,2317139.78
5,5,2026-05-26,165773962.16,108095951.48,Settled,2026-05-27,283426.35
6,6,2026-05-26,173035294.61,146734549.63,Settled,2026-05-27,1226517.26
7,7,2026-05-26,254651967.6,147288776.04,Pending,2026-05-27,0.0
8,8,2026-05-26,298658165.21,156246198.95,Settled,2026-05-27,5136362.74
9,9,2026-05-26,245485967.06,148539595.29,Settled,2026-05-27,0.0
10,10,2026-05-26,98510378.54,80143760.74,Settled,2026-05-27,6231847.17
11,11,2026-05-26,71158965.97,14970944.61,Settled,2026-05-27,0.0
12,12,2026-05-26,193327186.87,131810818.43,Settled,2026-05-27,0.0
13,13,2026-05-26,87888612.47,46098967.82,Pending,2026-05-27,0.0
14,14,2026-05-26,288800045.08,86144057.33,Settled,2026-05-27,0.0
15,15,2026-05-26,276214860.41,112284424.97,Pending,2026-05-27,3067352.19
16,16,2026-05-26,87627093.42,56624535.08,Settled,2026-05-27,0.0
17,17,2026-05-26,323209353.87,138399255.3,Settled,2026-05-27,0.0
18,18,2026-05-26,63603095.28,16321935.2,Disputed,2026-05-27,129129.29
19,19,2026-05-26,182192867.38,120042946.6,Pending,2026-05-27,0.0
20,20,2026-05-26,104309881.25,73497055.34,Settled,2026-05-27,786865.76
