asset_class,market_date,market_factor,factor_level,volatility,currency
Rates,2026-05-26,Rates India Risk Factor,98.649259,0.233251,INR
Rates,2026-05-25,Rates India Risk Factor,100.076418,0.237965,INR
Rates,2026-05-24,Rates India Risk Factor,86.124914,0.168963,INR
Rates,2026-05-23,Rates India Risk Factor,103.903067,0.395468,INR
Rates,2026-05-22,Rates India Risk Factor,104.537366,0.41598,INR
Rates,2026-05-21,Rates India Risk Factor,89.111865,0.110053,INR
Rates,2026-05-20,Rates India Risk Factor,91.62233,0.099861,INR
Rates,2026-05-19,Rates India Risk Factor,94.504499,0.254268,INR
Rates,2026-05-18,Rates India Risk Factor,94.933966,0.305097,INR
Rates,2026-05-17,Rates India Risk Factor,101.094193,0.399557,INR
Rates,2026-05-16,Rates India Risk Factor,91.598623,0.311432,INR
Rates,2026-05-15,Rates India Risk Factor,90.29825,0.349425,INR
Rates,2026-05-14,Rates India Risk Factor,121.011879,0.319516,INR
Rates,2026-05-13,Rates India Risk Factor,105.746783,0.337727,INR
Rates,2026-05-12,Rates India Risk Factor,84.489979,0.108891,INR
Rates,2026-05-11,Rates India Risk Factor,110.262343,0.397213,INR
Rates,2026-05-10,Rates India Risk Factor,94.405983,0.258436,INR
Rates,2026-05-09,Rates India Risk Factor,91.50363,0.406477,INR
Rates,2026-05-08,Rates India Risk Factor,99.596207,0.198661,INR
Rates,2026-05-07,Rates India Risk Factor,94.071851,0.15533,INR
Rates,2026-05-06,Rates India Risk Factor,104.178882,0.087919,INR
Rates,2026-05-05,Rates India Risk Factor,98.571424,0.271192,INR
Rates,2026-05-04,Rates India Risk Factor,98.863683,0.30063,INR
Rates,2026-05-03,Rates India Risk Factor,103.763603,0.221196,INR
Rates,2026-05-02,Rates India Risk Factor,98.823412,0.085297,INR
Rates,2026-05-01,Rates India Risk Factor,93.745678,0.186212,INR
Rates,2026-04-30,Rates India Risk Factor,106.15318,0.086849,INR
Rates,2026-04-29,Rates India Risk Factor,103.642388,0.306474,INR
Rates,2026-04-28,Rates India Risk Factor,100.369626,0.398132,INR
Rates,2026-04-27,Rates India Risk Factor,107.48087,0.273037,INR
Rates,2026-04-26,Rates India Risk Factor,99.193777,0.271784,INR
Rates,2026-04-25,Rates India Risk Factor,101.827685,0.226501,INR
Rates,2026-04-24,Rates India Risk Factor,102.256703,0.225457,INR
Rates,2026-04-23,Rates India Risk Factor,94.113984,0.313182,INR
Rates,2026-04-22,Rates India Risk Factor,122.762355,0.341296,INR
Rates,2026-04-21,Rates India Risk Factor,100.567958,0.263037,INR
Rates,2026-04-20,Rates India Risk Factor,96.095841,0.325798,INR
Rates,2026-04-19,Rates India Risk Factor,94.616232,0.172052,INR
Rates,2026-04-18,Rates India Risk Factor,87.300057,0.398106,INR
Rates,2026-04-17,Rates India Risk Factor,86.332801,0.24181,INR
Rates,2026-04-16,Rates India Risk Factor,122.397578,0.220672,INR
Rates,2026-04-15,Rates India Risk Factor,86.665937,0.178705,INR
Rates,2026-04-14,Rates India Risk Factor,94.1846,0.313101,INR
Rates,2026-04-13,Rates India Risk Factor,97.743768,0.350309,INR
Rates,2026-04-12,Rates India Risk Factor,98.57634,0.31207,INR
Rates,2026-04-11,Rates India Risk Factor,98.180635,0.301894,INR
Rates,2026-04-10,Rates India Risk Factor,98.409347,0.328988,INR
Rates,2026-04-09,Rates India Risk Factor,103.176253,0.160331,INR
Rates,2026-04-08,Rates India Risk Factor,96.447028,0.224166,INR
Rates,2026-04-07,Rates India Risk Factor,102.424386,0.204693,INR
Rates,2026-04-06,Rates India Risk Factor,99.479635,0.285314,INR
Rates,2026-04-05,Rates India Risk Factor,107.397594,0.353459,INR
Rates,2026-04-04,Rates India Risk Factor,107.420366,0.320123,INR
Rates,2026-04-03,Rates India Risk Factor,96.484292,0.239788,INR
Rates,2026-04-02,Rates India Risk Factor,103.362897,0.309809,INR
Rates,2026-04-01,Rates India Risk Factor,108.723776,0.402746,INR
Rates,2026-03-31,Rates India Risk Factor,92.748552,0.271694,INR
Rates,2026-03-30,Rates India Risk Factor,99.430664,0.290838,INR
Rates,2026-03-29,Rates India Risk Factor,103.000865,0.206014,INR
Rates,2026-03-28,Rates India Risk Factor,92.437948,0.117917,INR
Rates,2026-03-27,Rates India Risk Factor,114.599032,0.419674,INR
Rates,2026-03-26,Rates India Risk Factor,97.364868,0.080656,INR
Rates,2026-03-25,Rates India Risk Factor,114.249815,0.086793,INR
Rates,2026-03-24,Rates India Risk Factor,96.184928,0.323942,INR
Rates,2026-03-23,Rates India Risk Factor,97.001687,0.322381,INR
Rates,2026-03-22,Rates India Risk Factor,88.182856,0.41131,INR
Rates,2026-03-21,Rates India Risk Factor,104.960631,0.415543,INR
Rates,2026-03-20,Rates India Risk Factor,91.55653,0.395836,INR
Rates,2026-03-19,Rates India Risk Factor,99.600757,0.128436,INR
Rates,2026-03-18,Rates India Risk Factor,94.010003,0.255392,INR
Rates,2026-03-17,Rates India Risk Factor,102.408905,0.394371,INR
Rates,2026-03-16,Rates India Risk Factor,78.998827,0.185762,INR
Rates,2026-03-15,Rates India Risk Factor,101.27277,0.125389,INR
Rates,2026-03-14,Rates India Risk Factor,103.22701,0.128739,INR
Rates,2026-03-13,Rates India Risk Factor,97.561057,0.319657,INR
Rates,2026-03-12,Rates India Risk Factor,98.035988,0.207285,INR
Rates,2026-03-11,Rates India Risk Factor,96.609201,0.356388,INR
Rates,2026-03-10,Rates India Risk Factor,99.497546,0.265986,INR
Rates,2026-03-09,Rates India Risk Factor,112.482807,0.253844,INR
Rates,2026-03-08,Rates India Risk Factor,107.670453,0.374247,INR
Rates,2026-03-07,Rates India Risk Factor,99.489966,0.21461,INR
Rates,2026-03-06,Rates India Risk Factor,97.367571,0.256359,INR
Rates,2026-03-05,Rates India Risk Factor,106.833919,0.304557,INR
Rates,2026-03-04,Rates India Risk Factor,101.882318,0.154065,INR
Rates,2026-03-03,Rates India Risk Factor,92.260079,0.19764,INR
Rates,2026-03-02,Rates India Risk Factor,98.577394,0.1505,INR
Rates,2026-03-01,Rates India Risk Factor,111.448793,0.262449,INR
Rates,2026-02-28,Rates India Risk Factor,104.625239,0.127209,INR
Rates,2026-02-27,Rates India Risk Factor,97.450615,0.260686,INR
Rates,2026-02-26,Rates India Risk Factor,88.938095,0.253457,INR
Credit,2026-05-26,Credit India Risk Factor,102.368265,0.249011,INR
Credit,2026-05-25,Credit India Risk Factor,100.687993,0.196514,INR
Credit,2026-05-24,Credit India Risk Factor,99.248117,0.249217,INR
Credit,2026-05-23,Credit India Risk Factor,106.93093,0.104834,INR
Credit,2026-05-22,Credit India Risk Factor,104.728852,0.144901,INR
Credit,2026-05-21,Credit India Risk Factor,89.16954,0.140457,INR
Credit,2026-05-20,Credit India Risk Factor,100.732212,0.151319,INR
Credit,2026-05-19,Credit India Risk Factor,90.806726,0.377754,INR
Credit,2026-05-18,Credit India Risk Factor,96.734615,0.224644,INR
Credit,2026-05-17,Credit India Risk Factor,90.282653,0.401086,INR
Credit,2026-05-16,Credit India Risk Factor,90.529927,0.103439,INR
Credit,2026-05-15,Credit India Risk Factor,86.273934,0.416286,INR
Credit,2026-05-14,Credit India Risk Factor,103.338966,0.116041,INR
Credit,2026-05-13,Credit India Risk Factor,102.520344,0.187282,INR
Credit,2026-05-12,Credit India Risk Factor,100.140295,0.316231,INR
Credit,2026-05-11,Credit India Risk Factor,96.078893,0.197254,INR
Credit,2026-05-10,Credit India Risk Factor,89.77032,0.249309,INR
Credit,2026-05-09,Credit India Risk Factor,96.769603,0.226911,INR
Credit,2026-05-08,Credit India Risk Factor,102.556432,0.404309,INR
Credit,2026-05-07,Credit India Risk Factor,102.371064,0.257442,INR
Credit,2026-05-06,Credit India Risk Factor,111.252924,0.105963,INR
Credit,2026-05-05,Credit India Risk Factor,109.886263,0.098623,INR
Credit,2026-05-04,Credit India Risk Factor,100.449147,0.247785,INR
Credit,2026-05-03,Credit India Risk Factor,96.691158,0.109696,INR
Credit,2026-05-02,Credit India Risk Factor,94.193134,0.277624,INR
Credit,2026-05-01,Credit India Risk Factor,88.691861,0.206507,INR
Credit,2026-04-30,Credit India Risk Factor,91.549228,0.154845,INR
Credit,2026-04-29,Credit India Risk Factor,87.212012,0.41675,INR
Credit,2026-04-28,Credit India Risk Factor,114.327189,0.413071,INR
Credit,2026-04-27,Credit India Risk Factor,102.568368,0.107431,INR
Credit,2026-04-26,Credit India Risk Factor,105.300209,0.160823,INR
Credit,2026-04-25,Credit India Risk Factor,98.151523,0.112379,INR
Credit,2026-04-24,Credit India Risk Factor,119.570543,0.195485,INR
Credit,2026-04-23,Credit India Risk Factor,91.617278,0.323474,INR
Credit,2026-04-22,Credit India Risk Factor,88.026716,0.369635,INR
Credit,2026-04-21,Credit India Risk Factor,119.379583,0.263054,INR
Credit,2026-04-20,Credit India Risk Factor,89.436615,0.248402,INR
Credit,2026-04-19,Credit India Risk Factor,98.04713,0.134937,INR
Credit,2026-04-18,Credit India Risk Factor,94.789631,0.169687,INR
Credit,2026-04-17,Credit India Risk Factor,103.161385,0.396121,INR
Credit,2026-04-16,Credit India Risk Factor,97.471001,0.27215,INR
Credit,2026-04-15,Credit India Risk Factor,105.326665,0.165207,INR
Credit,2026-04-14,Credit India Risk Factor,107.10686,0.109831,INR
Credit,2026-04-13,Credit India Risk Factor,88.625903,0.155377,INR
Credit,2026-04-12,Credit India Risk Factor,93.955674,0.187059,INR
Credit,2026-04-11,Credit India Risk Factor,106.042014,0.350799,INR
Credit,2026-04-10,Credit India Risk Factor,108.793472,0.301667,INR
Credit,2026-04-09,Credit India Risk Factor,101.669197,0.243211,INR
Credit,2026-04-08,Credit India Risk Factor,103.757819,0.253698,INR
Credit,2026-04-07,Credit India Risk Factor,111.843624,0.297728,INR
Credit,2026-04-06,Credit India Risk Factor,97.565275,0.122167,INR
Credit,2026-04-05,Credit India Risk Factor,101.581856,0.186531,INR
Credit,2026-04-04,Credit India Risk Factor,109.896404,0.208806,INR
Credit,2026-04-03,Credit India Risk Factor,110.463325,0.230412,INR
